"Station Name","MAC Address","Org Name","Start Date","Start Time Zone","End Date","End Time Zone","Transaction Date (Pacific Time)","Total Duration (hh:mm:ss)","Charging Time (hh:mm:ss)","Energy (kWh)","GHG Savings (kg)","Gasoline Savings (gallons)","Port Type","Port Number","Plug Type","EVSE ID","Address 1","Address 2",City,State/Province,"Postal Code",Country,Latitude,Longitude,Currency,Fee,"Ended By","Plug In Event Id","Driver Postal Code","User ID","Start SOC","End SOC",County,"System S/N","Model Number"
"CALPOLY / LOT H2 EV2",0024:B100:0002:12F1,"California Polytechnic State University","2019-01-20 11:44:16",PST,"2019-01-20 17:01:19",PST,"2019-01-20 17:02:54",05:17:01,05:15:36,36.966,15.526,4.639,"Level 2",2,J1772,116197,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302597,-120.663498,USD,11.780,"Plug Out at Vehicle",2957,93908,829071,,,"San Luis Obispo County",142741005544,CT4025-HD
"CALPOLY / GRAND EV1",0024:B100:0002:1EFF,"California Polytechnic State University","2019-01-20 13:10:48",PST,"2019-01-20 16:57:59",PST,"2019-01-20 16:58:40",03:47:11,01:46:53,5.651,2.373,0.709,"Level 2",2,J1772,118615,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298355,-120.657600,USD,0.620,"Plug Out at Vehicle",2101,93420,379067,,,"San Luis Obispo County",150241000125,CT4020-HD
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2019-01-20 15:04:29",PST,"2019-01-20 16:22:33",PST,"2019-01-20 16:24:14",01:18:03,01:17:52,4.347,1.826,0.545,"Level 2",2,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,0.480,"Plug Out at Vehicle",1548025462,93432,1297621,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / LOT H2 EV3",0024:B100:0002:1280,"California Polytechnic State University","2019-01-20 12:58:07",PST,"2019-01-20 14:50:16",PST,"2019-01-20 14:52:09",01:52:08,01:51:56,6.218,2.612,0.780,"Level 2",2,J1772,115119,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302551,-120.663490,USD,0.680,"Plug Out at Vehicle",3729,94954,293145,,,"San Luis Obispo County",142641005445,CT4025-HD-GW
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2019-01-20 10:24:06",PST,"2019-01-20 14:02:19",PST,"2019-01-20 14:04:04",03:38:10,03:37:58,14.101,5.922,1.770,"Level 2",2,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,1.550,"Plug Out at Vehicle",3603,94536,360267,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / LOT H2 EV1",0024:B100:0002:2342,"California Polytechnic State University","2019-01-20 12:31:17",PST,"2019-01-20 13:41:00",PST,"2019-01-20 13:41:44",01:09:42,01:09:35,4.414,1.854,0.554,"Level 2",2,J1772,116199,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302666,-120.663521,USD,0.490,"Plug Out at Vehicle",1770,95008,3836771,,,"San Luis Obispo County",151241001192,CT4025-HD
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-20 12:24:39",PST,"2019-01-20 12:35:26",PST,"2019-01-20 12:36:24",00:10:46,00:10:36,1.229,0.516,0.154,"Level 2",2,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,0.140,"Plug Out at Vehicle",4056,93465,3778861,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / GRAND EV1",0024:B100:0002:1EFF,"California Polytechnic State University","2019-01-20 09:35:01",PST,"2019-01-20 11:02:34",PST,"2019-01-20 11:03:16",01:27:33,01:23:54,10.093,4.239,1.267,"Level 2",1,J1772,118615,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298355,-120.657600,USD,1.110,"Plug Out at Vehicle",1548005694,93420,3879581,,,"San Luis Obispo County",150241000125,CT4020-HD
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2019-01-20 03:01:59",PST,"2019-01-20 06:13:56",PST,"2019-01-20 06:15:17",03:11:57,02:17:59,9.831,4.129,1.234,"Level 2",1,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,1.080,"Plug Out at Vehicle",3602,93446,323083,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2019-01-20 02:53:33",PST,"2019-01-20 06:14:08",PST,"2019-01-20 06:14:49",03:20:34,02:05:40,7.185,3.018,0.902,"Level 2",2,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,0.790,"Plug Out at Vehicle",3601,93405,648859,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / LOT H2 EV3",0024:B100:0002:1280,"California Polytechnic State University","2019-01-19 14:04:30",PST,"2019-01-19 21:02:09",PST,"2019-01-19 21:03:38",06:57:39,04:00:15,27.849,11.697,3.495,"Level 2",1,J1772,115119,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302551,-120.663490,USD,20.830,"Plug Out at Vehicle",3727,95033,1259811,,,"San Luis Obispo County",142641005445,CT4025-HD-GW
"CALPOLY / LOT H2 EV2",0024:B100:0002:12F1,"California Polytechnic State University","2019-01-19 11:55:14",PST,"2019-01-19 17:02:03",PST,"2019-01-19 17:03:11",05:06:48,05:04:54,35.042,14.718,4.398,"Level 2",2,J1772,116197,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302597,-120.663498,USD,10.530,"Plug Out at Vehicle",2956,94577,804643,,,"San Luis Obispo County",142741005544,CT4025-HD
"CALPOLY / GRAND EV1",0024:B100:0002:1EFF,"California Polytechnic State University","2019-01-19 14:57:21",PST,"2019-01-19 16:59:10",PST,"2019-01-19 17:00:13",02:01:53,02:01:39,13.483,5.663,1.692,"Level 2",1,J1772,118615,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298355,-120.657600,USD,1.480,"Plug Out at Vehicle",2100,93406,2856531,,,"San Luis Obispo County",150241000125,CT4020-HD
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2019-01-19 14:41:52",PST,"2019-01-19 16:58:31",PST,"2019-01-19 17:00:09",02:16:43,02:16:25,7.457,3.132,0.936,"Level 2",1,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,0.820,"Plug Out at Vehicle",3600,91214,44623,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / GRAND EV1",0024:B100:0002:1EFF,"California Polytechnic State University","2019-01-19 13:31:49",PST,"2019-01-19 16:42:57",PST,"2019-01-19 16:44:24",03:11:08,01:35:56,5.033,2.114,0.632,"Level 2",2,J1772,118615,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298355,-120.657600,USD,0.550,"Plug Out at Vehicle",2099,93420,379067,,,"San Luis Obispo County",150241000125,CT4020-HD
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-19 15:17:53",PST,"2019-01-19 16:39:11",PST,"2019-01-19 16:40:30",01:21:18,01:19:47,2.640,1.109,0.331,"Level 2",1,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,0.290,"Plug Out at Vehicle",4055,93277,1565561,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-19 12:40:58",PST,"2019-01-19 16:33:09",PST,"2019-01-19 16:33:51",03:52:14,03:51:54,26.067,10.948,3.271,"Level 2",2,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,2.870,"Plug Out at Vehicle",4054,90265,707835,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / LOT H2 EV1",0024:B100:0002:2342,"California Polytechnic State University","2019-01-19 12:31:26",PST,"2019-01-19 16:29:55",PST,"2019-01-19 16:32:03",03:58:29,01:51:01,5.542,2.328,0.696,"Level 2",2,J1772,116199,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302666,-120.663521,USD,0.610,"Plug Out at Vehicle",1768,93444,1631311,,,"San Luis Obispo County",151241001192,CT4025-HD
"CALPOLY / LOT H2 EV3",0024:B100:0002:1280,"California Polytechnic State University","2019-01-19 14:56:41",PST,"2019-01-19 16:03:35",PST,"2019-01-19 16:05:36",01:06:54,01:06:44,6.610,2.776,0.830,"Level 2",2,J1772,115119,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302551,-120.663490,USD,0.730,"Plug Out at Vehicle",3728,93406,412757,,,"San Luis Obispo County",142641005445,CT4025-HD-GW
"CALPOLY / LOT H2 EV1",0024:B100:0002:2342,"California Polytechnic State University","2019-01-19 12:55:53",PST,"2019-01-19 15:45:25",PST,"2019-01-19 15:46:24",02:49:32,02:05:35,13.463,5.655,1.690,"Level 2",1,J1772,116199,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302666,-120.663521,USD,1.480,"Plug Out at Vehicle",1769,93401,507913,,,"San Luis Obispo County",151241001192,CT4025-HD
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2019-01-19 13:23:12",PST,"2019-01-19 15:03:25",PST,"2019-01-19 15:05:23",01:40:11,01:39:40,8.996,3.778,1.129,"Level 2",2,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,0.990,"Plug Out at Vehicle",3599,93420,1260731,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / LOT H2 EV2",0024:B100:0002:12F1,"California Polytechnic State University","2019-01-19 13:18:39",PST,"2019-01-19 14:53:57",PST,"2019-01-19 14:56:43",01:35:20,00:31:10,3.199,1.344,0.401,"Level 2",1,J1772,116197,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302597,-120.663498,USD,0.350,"Plug Out at Vehicle",1547932714,N/A,,,,"San Luis Obispo County",142741005544,CT4025-HD
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-19 10:36:51",PST,"2019-01-19 14:00:14",PST,"2019-01-19 14:01:03",03:23:27,03:23:09,23.406,9.830,2.937,"Level 2",1,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,2.570,"Plug Out at Vehicle",4053,95033,1259811,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / LOT H2 EV3",0024:B100:0002:1280,"California Polytechnic State University","2019-01-19 10:10:41",PST,"2019-01-19 13:58:55",PST,"2019-01-19 14:00:07",03:48:18,03:47:50,12.403,5.209,1.557,"Level 2",2,J1772,115119,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302551,-120.663490,USD,1.360,"Plug Out at Vehicle",3726,93401,3868531,,,"San Luis Obispo County",142641005445,CT4025-HD-GW
"CALPOLY / LOT H2 EV2",0024:B100:0002:12F1,"California Polytechnic State University","2019-01-19 09:39:08",PST,"2019-01-19 11:11:29",PST,"2019-01-19 11:12:19",01:32:21,00:54:45,5.376,2.258,0.675,"Level 2",2,J1772,116197,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302597,-120.663498,USD,0.590,"Plug Out at Vehicle",2955,93308,3889251,,,"San Luis Obispo County",142741005544,CT4025-HD
"CALPOLY / LOT H2 EV1",0024:B100:0002:2342,"California Polytechnic State University","2019-01-19 10:12:36",PST,"2019-01-19 10:14:36",PST,"2019-01-19 10:14:46",00:02:00,00:00:00,0.000,0.000,0.000,"Level 2",1,J1772,116199,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302666,-120.663521,USD,0.000,Timeout,1767,93444,1631311,,,"San Luis Obispo County",151241001192,CT4025-HD
"CALPOLY / LOT H2 EV1",0024:B100:0002:2342,"California Polytechnic State University","2019-01-19 07:45:05",PST,"2019-01-19 10:13:31",PST,"2019-01-19 10:14:16",02:28:31,02:28:03,8.127,3.413,1.020,"Level 2",2,J1772,116199,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302666,-120.663521,USD,0.890,"Plug Out at Vehicle",1547912699,93444,1631311,,,"San Luis Obispo County",151241001192,CT4025-HD
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-19 10:11:06",PST,"2019-01-19 10:13:05",PST,"2019-01-19 10:13:15",00:01:59,00:00:00,0.000,0.000,0.000,"Level 2",1,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,0.000,Timeout,1547921460,93401,3868531,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-19 10:08:49",PST,"2019-01-19 10:10:49",PST,"2019-01-19 10:11:03",00:02:00,00:00:00,0.000,0.000,0.000,"Level 2",1,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,0.000,Timeout,1547921324,93401,3868531,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-19 10:08:01",PST,"2019-01-19 10:09:40",PST,"2019-01-19 10:10:22",00:01:39,00:00:34,0.026,0.011,0.003,"Level 2",2,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,0.000,Customer,4052,93401,3868531,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-19 09:33:22",PST,"2019-01-19 10:07:52",PST,"2019-01-19 10:10:01",00:34:28,00:34:15,1.844,0.774,0.231,"Level 2",2,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,0.200,"Plug Out at Vehicle",4051,93401,3868531,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-19 09:50:52",PST,"2019-01-19 09:52:52",PST,"2019-01-19 09:53:03",00:02:00,00:00:00,0.000,0.000,0.000,"Level 2",1,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,0.000,Timeout,1547920246,93401,3868531,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-19 09:36:14",PST,"2019-01-19 09:38:13",PST,"2019-01-19 09:38:24",00:01:59,00:00:00,0.000,0.000,0.000,"Level 2",1,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,0.000,Timeout,1547919367,93401,3868531,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-19 09:33:40",PST,"2019-01-19 09:35:40",PST,"2019-01-19 09:35:49",00:02:00,00:00:00,0.000,0.000,0.000,"Level 2",1,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,0.000,Timeout,1547919212,93401,3868531,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2019-01-19 07:24:46",PST,"2019-01-19 07:25:06",PST,"2019-01-19 07:25:45",00:00:25,00:00:00,0.000,0.000,0.000,"Level 2",2,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,0.000,"Plug Out at Vehicle",3598,94025,3154861,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2019-01-18 20:57:25",PST,"2019-01-19 07:24:24",PST,"2019-01-19 07:25:06",10:26:59,08:48:46,61.836,25.971,7.760,"Level 2",2,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,45.500,"Plug Out at Vehicle",3596,94025,3154861,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2019-01-19 02:58:22",PST,"2019-01-19 07:03:44",PST,"2019-01-19 07:05:06",04:05:22,02:38:41,9.317,3.913,1.169,"Level 2",1,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,1.560,"Plug Out at Vehicle",3597,93405,648859,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / LOT H2 EV3",0024:B100:0002:1280,"California Polytechnic State University","2019-01-18 16:09:47",PST,"2019-01-18 19:57:48",PST,"2019-01-18 19:59:25",03:48:01,01:58:38,7.524,3.160,0.944,"Level 2",1,J1772,115119,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302551,-120.663490,USD,0.830,"Plug Out at Vehicle",3725,93446,323083,,,"San Luis Obispo County",142641005445,CT4025-HD-GW
"CALPOLY / GRAND EV1",0024:B100:0002:1EFF,"California Polytechnic State University","2019-01-18 18:03:19",PST,"2019-01-18 19:04:19",PST,"2019-01-18 19:06:16",01:00:59,00:40:13,3.671,1.542,0.461,"Level 2",2,J1772,118615,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298355,-120.657600,USD,0.400,"Plug Out at Vehicle",2098,95120,1734131,,,"San Luis Obispo County",150241000125,CT4020-HD
"CALPOLY / LOT H2 EV1",0024:B100:0002:2342,"California Polytechnic State University","2019-01-18 16:54:08",PST,"2019-01-18 19:02:35",PST,"2019-01-18 19:03:17",02:08:26,01:55:39,8.153,3.424,1.023,"Level 2",1,J1772,116199,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302666,-120.663521,USD,0.900,"Plug Out at Vehicle",1766,93422,418203,,,"San Luis Obispo County",151241001192,CT4025-HD
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-18 18:16:36",PST,"2019-01-18 18:25:28",PST,"2019-01-18 18:26:10",00:08:52,00:00:00,0.000,0.000,0.000,"Level 2",1,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,0.000,"Plug Out at Vehicle",4050,92009,1782891,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2019-01-18 13:08:15",PST,"2019-01-18 18:06:40",PST,"2019-01-18 18:09:05",04:58:28,04:05:24,14.743,6.192,1.850,"Level 2",2,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,7.460,"Plug Out at Vehicle",3595,95124,508969,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / LOT H2 EV2",0024:B100:0002:12F1,"California Polytechnic State University","2019-01-18 15:40:43",PST,"2019-01-18 18:03:24",PST,"2019-01-18 18:04:05",02:22:45,02:22:28,9.031,3.793,1.133,"Level 2",1,J1772,116197,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302597,-120.663498,USD,0.990,"Plug Out at Vehicle",2954,93422,2872841,,,"San Luis Obispo County",142741005544,CT4025-HD
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-18 15:09:24",PST,"2019-01-18 18:00:00",PST,"2019-01-18 18:02:24",02:50:40,02:50:28,5.557,2.334,0.697,"Level 2",2,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,0.610,"Plug Out at Vehicle",4048,93420,453471,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-18 17:55:12",PST,"2019-01-18 17:57:11",PST,"2019-01-18 17:57:21",00:01:59,00:00:00,0.000,0.000,0.000,"Level 2",1,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,0.000,Timeout,4049,92009,1782891,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / LOT H2 EV3",0024:B100:0002:1280,"California Polytechnic State University","2019-01-18 13:20:51",PST,"2019-01-18 17:23:05",PST,"2019-01-18 17:24:47",04:02:14,02:02:49,13.467,5.656,1.690,"Level 2",2,J1772,115119,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302551,-120.663490,USD,1.700,"Plug Out at Vehicle",3724,93422,1853321,,,"San Luis Obispo County",142641005445,CT4025-HD-GW
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2019-01-18 11:10:20",PST,"2019-01-18 16:51:33",PST,"2019-01-18 16:53:45",05:41:13,04:06:39,15.330,6.438,1.924,"Level 2",1,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,11.810,"Plug Out at Vehicle",3594,93444,381265,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / LOT H2 EV1",0024:B100:0002:2342,"California Polytechnic State University","2019-01-18 13:24:32",PST,"2019-01-18 16:50:56",PST,"2019-01-18 16:53:09",03:26:23,01:56:47,12.449,5.229,1.562,"Level 2",2,J1772,116199,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302666,-120.663521,USD,1.370,"Plug Out at Vehicle",1765,93465,3778861,,,"San Luis Obispo County",151241001192,CT4025-HD
"CALPOLY / GRAND EV1",0024:B100:0002:1EFF,"California Polytechnic State University","2019-01-18 14:23:35",PST,"2019-01-18 16:28:27",PST,"2019-01-18 16:30:16",02:04:50,02:04:40,2.577,1.082,0.323,"Level 2",2,J1772,118615,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298355,-120.657600,USD,0.280,"Plug Out at Vehicle",2097,92009,1782891,,,"San Luis Obispo County",150241000125,CT4020-HD
"CALPOLY / LOT H2 EV2",0024:B100:0002:12F1,"California Polytechnic State University","2019-01-18 15:25:36",PST,"2019-01-18 16:15:57",PST,"2019-01-18 16:19:25",00:50:26,00:50:10,2.922,1.227,0.367,"Level 2",2,J1772,116197,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302597,-120.663498,USD,0.320,"Plug Out at Vehicle",2953,93422,1248301,,,"San Luis Obispo County",142741005544,CT4025-HD
"CALPOLY / GRAND EV1",0024:B100:0002:1EFF,"California Polytechnic State University","2019-01-18 14:44:18",PST,"2019-01-18 15:50:38",PST,"2019-01-18 15:51:28",01:06:19,01:06:10,3.622,1.521,0.455,"Level 2",1,J1772,118615,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298355,-120.657600,USD,0.400,"Plug Out at Vehicle",1547851452,94583,2800441,,,"San Luis Obispo County",150241000125,CT4020-HD
"CALPOLY / LOT H2 EV2",0024:B100:0002:12F1,"California Polytechnic State University","2019-01-18 13:59:07",PST,"2019-01-18 15:17:35",PST,"2019-01-18 15:19:32",01:18:28,01:17:22,2.664,1.119,0.334,"Level 2",1,J1772,116197,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302597,-120.663498,USD,0.290,"Plug Out at Vehicle",1547848739,93422,349725,,,"San Luis Obispo County",142741005544,CT4025-HD
"CALPOLY / LOT H2 EV2",0024:B100:0002:12F1,"California Polytechnic State University","2019-01-18 13:52:36",PST,"2019-01-18 15:07:41",PST,"2019-01-18 15:10:27",01:15:08,01:14:52,4.191,1.760,0.526,"Level 2",2,J1772,116197,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302597,-120.663498,USD,0.460,"Plug Out at Vehicle",2951,93405,1239511,,,"San Luis Obispo County",142741005544,CT4025-HD
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-18 12:42:46",PST,"2019-01-18 15:03:42",PST,"2019-01-18 15:04:54",02:20:56,02:18:33,9.758,4.098,1.225,"Level 2",2,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,1.070,"Plug Out at Vehicle",4047,93422,406787,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / LOT H2 EV1",0024:B100:0002:2342,"California Polytechnic State University","2019-01-18 13:58:22",PST,"2019-01-18 14:00:21",PST,"2019-01-18 14:00:31",00:01:59,00:00:00,0.000,0.000,0.000,"Level 2",1,J1772,116199,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302666,-120.663521,USD,0.000,Timeout,1547848694,93422,349725,,,"San Luis Obispo County",151241001192,CT4025-HD
"CALPOLY / GRAND EV1",0024:B100:0002:1EFF,"California Polytechnic State University","2019-01-18 10:45:53",PST,"2019-01-18 13:37:28",PST,"2019-01-18 13:49:15",02:51:35,02:51:16,20.649,8.673,2.591,"Level 2",2,J1772,118615,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298355,-120.657600,USD,2.270,"Plug Out at Vehicle",2096,N/A,,,,"San Luis Obispo County",150241000125,CT4020-HD
"CALPOLY / LOT H2 EV1",0024:B100:0002:2342,"California Polytechnic State University","2019-01-18 08:33:26",PST,"2019-01-18 13:10:09",PST,"2019-01-18 13:12:20",04:36:43,03:49:55,24.991,10.496,3.136,"Level 2",1,J1772,116199,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302666,-120.663521,USD,6.420,"Plug Out at Vehicle",1763,93403,2347071,,,"San Luis Obispo County",151241001192,CT4025-HD
"CALPOLY / GRAND EV2",0024:B100:0002:2010,"California Polytechnic State University","2019-01-18 10:52:18",PST,"2019-01-18 12:46:22",PST,"2019-01-18 12:47:43",01:54:03,01:10:23,2.362,0.992,0.296,"Level 2",2,J1772,119343,"Tahoe Rd",,"San Luis Obispo",California,93405,"United States",35.298370,-120.657578,USD,0.260,"Plug Out at Vehicle",3593,93420,379067,,,"San Luis Obispo County",150541000428,CT4020-HD-GW
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-18 08:24:44",PST,"2019-01-18 12:20:29",PST,"2019-01-18 12:22:54",03:55:44,02:07:17,8.324,3.496,1.045,"Level 2",2,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,0.920,"Plug Out at Vehicle",4046,93420,1260731,,,"San Luis Obispo County",142741005561,CT4025-HD
"CALPOLY / LOT H2 EV3",0024:B100:0002:1280,"California Polytechnic State University","2019-01-18 09:21:58",PST,"2019-01-18 12:05:58",PST,"2019-01-18 12:07:50",02:43:59,01:56:48,6.176,2.594,0.775,"Level 2",1,J1772,115119,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302551,-120.663490,USD,0.680,"Plug Out at Vehicle",1547832110,93422,3575341,,,"San Luis Obispo County",142641005445,CT4025-HD-GW
"CALPOLY / LOT H2 EV1",0024:B100:0002:2342,"California Polytechnic State University","2019-01-18 09:19:38",PST,"2019-01-18 11:33:01",PST,"2019-01-18 11:34:33",02:13:28,01:41:14,10.631,4.465,1.334,"Level 2",2,J1772,116199,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302666,-120.663521,USD,1.170,"Plug Out at Vehicle",1764,93449,404097,,,"San Luis Obispo County",151241001192,CT4025-HD
"CALPOLY / LOT H2 EV4",0024:B100:0002:1302,"California Polytechnic State University","2019-01-18 07:30:13",PST,"2019-01-18 11:31:31",PST,"2019-01-18 11:32:53",04:01:18,03:25:04,11.667,4.900,1.464,"Level 2",1,J1772,116201,"University Dr",,"San Luis Obispo",California,93405,"United States",35.302479,-120.663467,USD,1.410,"Plug Out at Vehicle",4045,93433,827095,,,"San Luis Obispo County",142741005561,CT4025-HD
