,arr_time,soc_init,soc_need,batt_cap,duration,overstay_duration,power_max
0,14.55,0.050613301,0.95,11.77469048,1.6825,1.098333333,7.2
0,9.683333333,0.052821427,0.95,11.77469048,1.645,0.001944444,7.2
0,10.2,0.055114481,0.95,11.77469048,1.676666667,0.005277778,7.2
0,14.95,0.065220904,0.95,11.77469048,2.483055556,0.514722222,7.2
0,15.68333333,0.065815399,0.95,11.77469048,2.666111111,0.213888889,7.2
0,13.71666667,0.072609633,0.95,11.77469048,1.635555556,1.453611111,7.2
0,7.1,0.07354384,0.95,11.77469048,1.572222222,0.003611111,7.2
0,11.45,0.074138336,0.95,11.77469048,2.7575,1.068611111,7.2
0,19.25,0.077535453,0.95,11.77469048,1.578888889,0.005833333,7.2
0,17.01666667,0.080253146,0.95,11.77469048,2.380277778,1.432222222,7.2
0,15.11666667,0.088406227,0.95,11.77469048,2.750277778,0.335277778,7.2
0,13.36666667,0.091038992,0.95,11.77469048,2.606944444,0.003611111,7.2
0,17.21666667,0.094181325,0.95,11.77469048,2.43,1.166666667,7.2
0,15.68333333,0.097833226,0.95,11.77469048,2.344166667,0.003333333,7.2
0,7.416666667,0.100975559,0.95,11.77469048,1.786388889,2.119722222,7.2
0,14.4,0.101909766,0.95,11.77469048,1.981944444,0.002777778,7.2
0,11.28333333,0.110827198,0.95,11.77469048,1.553888889,0.003611111,7.2
0,7.383333333,0.112186045,0.95,11.77469048,1.75,1.325833333,7.2
0,14.91666667,0.113035324,0.95,11.77469048,2.680555556,0.502777778,7.2
0,15.16666667,0.114394171,0.95,11.77469048,2.960833333,0.004166667,7.2
0,7.466666667,0.115922874,0.95,11.77469048,1.680277778,0.333611111,7.2
0,8.35,0.120424053,0.95,11.77469048,2.608888889,1.928055556,7.2
0,12.7,0.121273333,0.95,11.77469048,2.309166667,0.039722222,7.2
0,7.416666667,0.124585522,0.95,11.77469048,1.635555556,0.518611111,7.2
0,15.48333333,0.12874699,0.95,11.77469048,2.316388889,0.003888889,7.2
0,8.55,0.130955116,0.95,11.77469048,2.229722222,0.962777778,7.2
0,12.61666667,0.131464683,0.95,11.77469048,1.843611111,2.091666667,7.2
0,14.81666667,0.133333098,0.95,11.77469048,2.612222222,0.769444444,7.2
0,14.81666667,0.134097449,0.95,11.77469048,2.600833333,0.789722222,7.2
0,11.61666667,0.138258917,0.95,11.77469048,2.906388889,0.008333333,7.2
0,17,0.138598629,0.95,11.77469048,2.2025,0.239722222,7.2
0,9.516666667,0.139108196,0.95,11.77469048,2.920833333,0.866388889,7.2
0,17.1,0.141995746,0.95,11.77469048,2.266944444,1.656944444,7.2
0,14.9,0.142505313,0.95,11.77469048,2.9125,0.299166667,7.2
0,14.96666667,0.150658394,0.95,11.77469048,2.242222222,0.510277778,7.2
0,7.933333333,0.155584213,0.95,11.77469048,3.277777778,0.004722222,7.2
0,12.96666667,0.158556691,0.95,11.77469048,2.225555556,0.733055556,7.2
0,12.55,0.162463375,0.95,11.77469048,2.208611111,1.199166667,7.2
0,11.26666667,0.162633231,0.95,11.77469048,2.690555556,0.675833333,7.2
0,16.96666667,0.162718159,0.95,11.77469048,2.23,1.615833333,7.2
0,17.43333333,0.166454987,0.95,11.77469048,2.801388889,0.007222222,7.2
0,8.216666667,0.16755905,0.95,11.77469048,2.381944444,0.002222222,7.2
0,17.43333333,0.170531528,0.95,11.77469048,2.370833333,2.128055556,7.2
0,17.05,0.170871239,0.95,11.77469048,2.47,1.862222222,7.2
0,7.566666667,0.173334149,0.95,11.77469048,2.890277778,5.838888889,7.2
0,16.76666667,0.173843717,0.95,11.77469048,2.686111111,0.003333333,7.2
0,17.15,0.174013573,0.95,11.77469048,2.218333333,1.459722222,7.2
