,arrHour,highPower,power_kw,estDurationHrs,estEnergykWh
11,,0,"[2.74890971561678, 2.6748011312800273, 2.608892360454711, 2.5482633258437546, 2.4917354479340936, 2.439626801952657, 2.393314681620199, 2.35486549138532, 2.32684004549975, 2.3122750713783233, 2.314871069292608, 2.342176282693723, 1.3960322848079975e-09, 1.2331255580983706e-09, 1.4446661129122657e-09, 1.6977570163761646e-10]",3.906700476190476,7.389142857142858
36,,1,"[6.59999999923222, 6.599999999423954, 6.599999999573361, 6.5999999996567995, 6.599999999648286, 6.59999999951835, 6.599999999239142, 6.599999998803981, 0.9401048650292915, 0.9777929355629911, 1.0428165760430756, 1.102833161743738, 1.159400171805034, 1.2512970597350164, 1.7419330131198416]",3.6153288888888886,15.254044444444444
12,,0,"[2.931255998151573, 2.8949274648110523, 2.8619543614228014, 2.833599825475936, 2.8117317846411947, 2.7989709518013717, 2.7992859468247646, 2.821115746106269, 1.6050463286287225e-09, 1.7926938491010424e-09, 2.5319884809646244e-09, 3.3921187379863204e-09, 4.1860516089420384e-09, 4.894971176011146e-09, 5.492934280427257e-09, 3.711731012902586e-09, 1.7781997313879182e-10]",4.165243684210527,5.688210526315789
37,,1,"[6.599999997804647, 6.599999997182079, 6.599999996781205, 6.5999999964924285, 5.7021679484806755, 5.608054189720703, 5.515400140769045, 5.428410894311394, 5.354637373301565, 5.304762276455826, 5.294268642027122, 5.359798546273942, 5.3026479461913215e-11]",3.244813125,17.491875
13,,0,"[3.2999999996112255, 3.2999999995920084, 3.299999999441697, 3.299999999148322, 0.552537052329771, 0.576083979946976, 0.6025914323910126, 0.6343073478254887, 0.6771440231623508, 0.7460343702911847, 0.8956267015586165, 1.3876750953583694, -1.6664295021416447e-10, -9.592408139102925e-11, -5.559080106964992e-11, -4.029558327868914e-11, -6.942293354196404e-11, -1.561881514217428e-11]",4.3881504,4.8180000000000005
38,,1,"[6.3419458565730045, 6.2760324337351925, 6.219149117353376, 6.168913637084087, 6.124543027329204, 6.086780487483408, 6.058128417039115, 6.046907021661956, 1.2329321799867111e-09]",2.247329,12.3306
14,,0,"[3.2999999999101686, 3.299999999910268, 3.299999999909607, 3.299999999907196, 3.299999999902307, 3.2999999998961775, 3.2999999998976093, 3.299999999934044, 0.015524757549817624, 0.014211849982028475, 0.013249685793748512, 0.012990161779456732, 0.01357724199001482, 0.015050546194318986, 0.017424283764669566, 0.021384396803294122, 0.07992040973652521]",4.032101666666667,6.650833333333334
39,,1,"[6.599999999564213, 6.599999999580646, 6.59999999960816, 6.599999999638043, 5.384602309301059, 5.2916806284953966, 5.208237114484157, 5.1493263970711824, 5.132322741964336, 5.1835046975528325, 5.363215002036981]",2.673358888888889,15.77822222222222
15,,0,"[3.2999999996583256, 3.299999999663632, 3.299999999669582, 3.2999999996750673, 2.0264889860727604, 1.9347061216808878, 1.8739507284964454, 1.8507208941606845, 1.878973824551446, 1.9956038904073332]",2.32515,6.190111111111111
40,,1,"[5.734772613379229, 5.661942545569079, 5.585580206647426, 5.502897963188962, 5.41585167831917, 5.329255180309333, 5.249490467631488, 5.183904946584625, 5.141056170631257, 5.132428621376019, 5.178135517246722, 5.330184089537161]",2.87923125,16.111375
